매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41513428,더 뉴 카니발 4세대,5480,1,13848,1598,7,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41500485,K5,490,1,125224,1999,5,13,5,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
41568250,올 뉴 K7,1179,1,81658,2999,5,10,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1
41560499,올 뉴 카니발,1120,1,158991,2199,9,9,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41632274,쏘렌토 4세대,3000,1,55827,2497,5,3,9,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
41636818,카니발 4세대,3420,1,44111,2151,9,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41621098,카니발 4세대,3880,1,21416,3470,7,5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41658795,더 뉴 스포티지 5세대,3950,1,1459,1598,5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
41490207,K8,2230,1,82301,3470,5,4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
41505539,올 뉴 카니발,1030,1,123349,2199,9,9,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41516588,셀토스,1990,1,41000,1591,5,6,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39650569,K3,650,1,112562,1582,5,12,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
41365463,올 뉴 K7,940,1,179123,2359,5,9,4,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41547034,올 뉴 카니발,890,1,165185,2199,9,8,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
41588403,더 뉴 카니발,1850,1,90442,2199,9,7,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41242308,더 K9,2050,1,213975,3342,5,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41636547,더 K9,1800,1,203836,3778,5,5,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
39928513,스포티지 더 볼드,1590,1,86150,1995,5,7,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41557754,스포티지 R,450,1,180608,1995,5,15,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
